what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888682992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888684488
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648888689390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1648888694203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1648888694843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648888699574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888736432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888758753
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648888758768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888760773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888763328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888763919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888767609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888770201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888811656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888814885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888816575
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648888816890
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648888818975
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648888819206
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648888824153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888831422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888838003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648888838010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888847195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888848879
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648888849193
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648888851174
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648888851424
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648888856324
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648888860264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888894110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888899391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648888902992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1648888907864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1648888908335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648888909356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888931429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888953420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648888989437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889011449
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648889011515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648889018176
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648889031770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889033685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889044540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889047946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889049642
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648889049954
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889051940
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648889052166
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889057059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889058062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889100124
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648889100131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889104763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889106531
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648889106847
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889108787
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648889109015
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889113888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889118867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889134992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648889134999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889137108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889138805
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648889139127
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889141187
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648889141409
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889146325
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648889147374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889149920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648889151588
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648889151899
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889153939
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648889154212
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648889159042
