what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1649665975515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1649665975515
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1649665975515
java.specification.name,sysinfo,,,"Java Platform API Specification",1649665975515
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649665975515
java.specification.version,sysinfo,,,"1.6",1649665975515
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1649665975515
java.version,sysinfo,,,"1.6.0_23",1649665975515
java.vm.info,sysinfo,,,"mixed mode",1649665975515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1649665975515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1649665975515
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649665975515
java.vm.specification.version,sysinfo,,,"1.0",1649665975515
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1649665975515
java.vm.version,sysinfo,,,"19.0-b09",1649665975515
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1649665976534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649665976808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649665990292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649665990954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649666478373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649666479311
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1649666479467
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1649666479596
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1649666481035
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1649666481069
