what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1648571102234
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648571102234
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1648571102234
java.specification.name,sysinfo,,,"Java Platform API Specification",1648571102234
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648571102234
java.specification.version,sysinfo,,,"1.6",1648571102234
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1648571102234
java.version,sysinfo,,,"1.6.0_23",1648571102234
java.vm.info,sysinfo,,,"mixed mode",1648571102234
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648571102234
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648571102234
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648571102234
java.vm.specification.version,sysinfo,,,"1.0",1648571102234
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1648571102234
java.vm.version,sysinfo,,,"19.0-b09",1648571102234
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648571105477
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1648571105586
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1648571105613
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648571107188
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1648571113073
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1648571113077
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1648571113077
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1648571113078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571113132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571115315
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648571121154
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1648571123463
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1648571126250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648571127166
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648571128129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571129969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571143095
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648571143102
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648571144381
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1648571149719
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1648571149721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571150602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571152366
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648571153094
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1648571153104
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648571155616
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1648571155889
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1648571155898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571168710
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648571190183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571190192
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648571190196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571192304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571200873
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1648571208164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648571208325
