what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1649204253978
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1649204253978
java.specification.name,sysinfo,,,"Java Platform API Specification",1649204253978
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649204253978
java.specification.version,sysinfo,,,"1.6",1649204253978
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1649204253978
java.version,sysinfo,,,"1.6.0_23",1649204253978
java.vm.info,sysinfo,,,"mixed mode",1649204253978
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1649204253978
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1649204253978
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649204253978
java.vm.specification.version,sysinfo,,,"1.0",1649204253978
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1649204253978
java.vm.version,sysinfo,,,"19.0-b09",1649204253978
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1649204254020
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1649204254999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204255477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204311044
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649204315655
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1649204315767
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1649204315926
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1649204317166
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1649204317228
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1649204317228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204319991
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649204320090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204325938
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649204328557
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1649204328601
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649204333069
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1649204333492
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1649204333528
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1649204333528
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1649204333528
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1649204333551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204346359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204392223
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649204392555
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649204392621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649204409470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204411636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204419876
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649204419926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204424309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204428422
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649204428856
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649204432939
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649204433226
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649204439589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204471525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204479371
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649204479382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649204483455
