what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1648909305417
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1648909305417
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1648909305417
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1648909305418
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1648909305418
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1648909305418
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1648909305419
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1648909305419
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1648909305419
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1648909305420
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1648909305420
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1648909305421
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1648909305421
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1648909305421
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1648909305422
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1648909305422
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1648909305422
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1648909305423
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1648909305423
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1648909305423
os,sysinfo,,,"win32",1648909305425
arch,sysinfo,,,"x86",1648909305425
ws,sysinfo,,,"win32",1648909305425
locale,sysinfo,,,"en_US",1648909305425
processors,sysinfo,,,"8",1648909305425
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648909305425
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1648909305425
java.specification.name,sysinfo,,,"Java Platform API Specification",1648909305425
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648909305425
java.specification.version,sysinfo,,,"1.6",1648909305425
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1648909305425
java.version,sysinfo,,,"1.6.0_23",1648909305425
java.vm.info,sysinfo,,,"mixed mode",1648909305425
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648909305425
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648909305425
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648909305425
java.vm.specification.version,sysinfo,,,"1.0",1648909305425
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1648909305425
java.vm.version,sysinfo,,,"19.0-b09",1648909305425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648909307438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648909310201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648909310745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648909331646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648909331701
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1648909331775
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1648909331806
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1648909335509
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1648909335544
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1648909335546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648909337242
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648909337434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648909339592
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648909340461
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1648909340474
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648909343295
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1648909343622
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1648909343627
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1648909343628
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1648909343629
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1648909343636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648909355137
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913259926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913259950
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648913259958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913262297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913269180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913280459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913283200
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648913283716
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913286287
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648913286581
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913292401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913324328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913327178
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913327499
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913327556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913333083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913338514
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913338739
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913341666
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913341703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913358639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913421828
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1648913423513
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1648913427225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648913427592
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648913428997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913430896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913474007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913484266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913486493
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648913487008
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913489761
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648913490044
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913496124
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913517814
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913523721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1648913551717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648913554696
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648913562688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913565257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913567227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913571665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913627217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913642092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913644262
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648913644763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913644927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913649031
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913653521
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648913653827
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913659744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913665321
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1648913749402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913752686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913792644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913818352
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648913818370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913826314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913828626
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648913829122
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913831702
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648913831979
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648913837946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913869540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648913960182
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648913960419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914167481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914340494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648914346390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648914349291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914351791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914371086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914381063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914383570
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648914384171
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648914387476
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648914387805
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648914393714
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648914410689
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648914733930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1648914737698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648914744778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914749965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914798515
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648914798737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648914805603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648914805907
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648914813136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914815472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914868224
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648914868272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648914869467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648914873260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914876044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914896347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914907591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914909884
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648914910475
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648914913039
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648914913335
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648914919079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914951562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648914962641
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648914962883
