what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648890050685
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648890055146
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648890055528
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648890062807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890081383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890190493
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890190664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648890192120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890192513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890197904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890199473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890201664
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890201789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890205264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890207980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648890209321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890209691
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890210949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890216730
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648890218185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890219949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890444637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890445907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890449055
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890449348
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890449471
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1648890452359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648890454588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890466771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890475369
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1648890477045
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1648890478451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890480121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890482904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890488572
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890488705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1648890489823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648890490292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890490798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890496365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890497562
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890497675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890498605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890500809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1648890501377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648890502010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890502525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890504600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890505682
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648890505751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890509095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890514027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890520529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890523386
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648890524070
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648890527480
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648890527945
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648890534465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890557504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890623432
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890623547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1648890625906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648890626344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890626719
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648890630494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890632584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648890674543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648890674661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648890682737
